Scopus refine results values

"Your query : (AU-ID(""Cattaneo, Giuseppe"" 7103222430))"


Number of results : 52

"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",,,
"2016","5","Cattaneo, G.","52","Arts and Humanities","2","Conference Paper","38","Lecture Notes In Computer Science Including Subseries Lecture Notes In Artificial Intelligence And Lecture Notes In Bioinformatics","12","Algorithms","11","Universita di Salerno","51","Italy","50","Conference Proceedings","27","English","52",,
"2015","3","Castiglione, A.","19","Biochemistry, Genetics and Molecular Biology","1","Article","12","Proceedings International Conference On Advanced Information Networking And Applications AINA","3","Digital Forensic","10","Universita degli Studi di Roma La Sapienza","17","South Korea","2","Book Series","14",,,,
"2014","3","De Santis, A.","17","Business, Management and Accounting","1","Book Chapter","1","ACM SIGPLAN Notices","2","Digital Forensics","10","Universita degli Studi di Napoli Federico II","3","United States","1","Journals","11",,,,
"2013","7","Petrillo, U.F.","14","Chemical Engineering","1","Article in Press","1","Communications In Computer And Information Science","2","Cryptography","6","Universita degli Studi di Roma Tor Vergata","3","Undefined","2",,,,,,
"2012","5","Faruolo, P.","9","Computer Science","41",,,"Journal Of Visual Languages And Computing","2","Digital Investigation","6","Universita degli Studi di Palermo","2",,,,,,,,
"2011","6","Roscigno, G.","9","Decision Sciences","1",,,"Proceedings 2011 International Conference On Broadband And Wireless Computing Communication And Applications Bwcca 2011","2","Internet","6","del Politecnico","1",,,,,,,,
"2010","4","Ferraro Petrillo, U.","8","Engineering","12",,,"Proceedings 3rd IEEE International Conference On Intelligent Networking And Collaborative Systems Incos 2011","2","Ubiquitous Computing","6","Finmatica SpA","1",,,,,,,,
"2009","2","De Maio, G.","7","Materials Science","1",,,"Proceedings 6th International Conference On Innovative Mobile And Internet Services In Ubiquitous Computing Imis 2012","2","Web Services","6","Honeywell Italia S.p.A.","1",,,,,,,,
"2008","1","Petagna, F.","7","Mathematics","17",,,"2009 5th International Conference On Collaborative Computing Networking Applications And Worksharing Collaboratecom 2009","1","Anti-Forensics","5","Future House S.r.L.","1",,,,,,,,
"2007","1","Catuogno, L.","6","Social Sciences","3",,,"2012 20th International Conference On Software Telecommunications And Computer Networks Softcom 2012","1","Communication","5","VMWare Italy S.p.A.","1",,,,,,,,
"2006","1","Cembalo, M.","5",,,,,"Cisis 2010 The 4th International Conference On Complex Intelligent And Software Intensive Systems","1","Computer Crime","5","International Information Systems Forensics Association","1",,,,,,,,
"2004","2","Italiano, G.F.","5",,,,,"Computers And Security","1","Counter-Forensics","5","Laboratoire d' Informatique Universitè de Rouen","1",,,,,,,,
"2003","2","Albano, P.","2",,,,,"Discrete Applied Mathematics","1","Digital Evidence","5","Soonchunhyang University","1",,,,,,,,
"2002","2","Barra, M.","2",,,,,"IEEE Access","1","Digital Image Forensics","5","Seconda Universita degli Studi di Napoli","1",,,,,,,,
"2000","1","Giancarlo, R.","2",,,,,"IEEE International Symposium On Industrial Electronics","1","Distributed Computer Systems","5","Korean Bible University","1",,,,,,,,
"1998","1","Iannelli, P.","2",,,,,"International Journal Of Communication Networks And Distributed Systems","1","Electronic Crime Countermeasures","5",,,,,,,,,,
"1997","1","Levialdi, S.","2",,,,,"Isse 2006 Securing Electronic Business Processes Highlights Of The Information Security Solutions Europe 2006 Conference","1","Experimental Analysis","5",,,,,,,,,,
"1992","2","Loia, V.","2",,,,,"Journal Of Ambient Intelligence And Humanized Computing","1","Network Security","5",,,,,,,,,,
"1988","1","Piotto, S.","2",,,,,"Journal Of Supercomputing","1","Authentication","4",,,,,,,,,,
"1986","1","Romano, L.","2",,,,,"Journal Of Universal Computer Science","1","Cameras","4",,,,,,,,,,
"1984","1","Scarano, V.","2",,,,,"Proceedings 2004 IEEE Symposium On Visual Languages And Human Centric Computing","1","Computer Software","4",,,,,,,,,,
,,"Sessa, L.","2",,,,,"Proceedings 2010 International Conference On Broadband Wireless Computing Communication And Applications Bwcca 2010","1","Digital Alibi","4",,,,,,,,,,
,,"Tortora, G.","2",,,,,"Proceedings 2011 5th International Conference On Innovative Mobile And Internet Services In Ubiquitous Computing Imis 2011","1","False Alibi","4",,,,,,,,,,
,,"Visconti, I.","2",,,,,"Proceedings 2014 International Conference On Network Based Information Systems Nbis 2014","1","Mobile Devices","4",,,,,,,,,,
,,"Amato, G.","1",,,,,"Proceedings 2015 9th International Conference On Innovative Mobile And Internet Services In Ubiquitous Computing Imis 2015","1","Mobile Security","4",,,,,,,,,,
,,"Biasi, L.D.","1",,,,,"Proceedings IEEE International Conference On Web Services","1","Network Protocols","4",,,,,,,,,,
,,"Bruno, A.","1",,,,,"Proceedings Of The 3rd International Conference On Security And Privacy In Communication Networks Securecomm","1","Telephone Systems","4",,,,,,,,,,
,,"Carullo, G.","1",,,,,"Proceedings Of The 4th International Conference On Software Engineering And Knowledge Engineering","1","Voice/data Communication Systems","4",,,,,,,,,,
,,"Cerrelli, E.","1",,,,,"Proceedings Of The ACM Symposium On Applied Computing","1","Automated Alibi","3",,,,,,,,,,
,,"Cilardo, A.","1",,,,,"Proceedings Of The Annual ACM SIAM Symposium On Discrete Algorithms","1","Communication Channels (information Theory)","3",,,,,,,,,,
,,"Concilio, S.","1",,,,,"Proceedings Of The International Conference On Parallel Processing Workshops","1","Data Privacy","3",,,,,,,,,,
