112	17
Item	Description	DE11	E13	E15	E18	E21	P0	P7	P14	A	c10	c11	c12	c13	c14	c15	c16	c17	
keratin	RNKER19	1.0	0.200588	0.306471	0.235294	0.400588	0.271176	0.188824	0.047647	0.0	0.799412	-0.105882	0.071176	-0.165294	0.129412	0.082353	0.141176	0.047647
cellubrevin	s63830	1.0	0.767159	0.207646	0.370982	0.399652	0.440487	0.676803	0.687228	0.472632	0.232841	0.559513	-0.163336	-0.028671	-0.040834	-0.236316	-0.010426	0.214596
nestin	RATNESTIN	0.486923	0.629231	1.0	0.538462	0.288462	0.215769	0.102308	0.098462	0.084615	-0.142308	-0.370769	0.461538	0.25	0.072692	0.113462	0.003846	0.013846
MAP2	RATMAP2	0.021164	0.269841	0.820106	0.873016	0.878307	0.78836	0.756614	0.835979	1.0	-0.248677	-0.550265	-0.05291	-0.005291	0.089947	0.031746	-0.079365	-0.164021
GAP43	RATGAP43	0.364017	0.623431	0.698745	0.807531	0.970711	0.958159	0.778243	0.782427	1.0	-0.259414	-0.075314	-0.108787	-0.16318	0.012552	0.179916	-0.004184	-0.217573
L1	S55536	0.0625	0.166667	0.53125	0.958333	1.0	0.895833	0.510417	0.416667	0.395833	-0.104167	-0.364583	-0.427083	-0.041667	0.104167	0.385417	0.09375	0.020833
NFL	RATNFL	0.032172	0.374665	0.449732	0.659517	0.655496	0.902145	1.0	0.526944	0.300268	-0.342493	-0.075067	-0.209786	0.004021	-0.246649	-0.097855	0.473056	0.226676
NFM	RATNFM	0.020585	0.121705	0.185988	0.147707	0.163958	0.253882	0.241242	0.490791	1.0	-0.10112	-0.064283	0.038281	-0.016251	-0.089924	0.01264	-0.249549	-0.509209
NFH	RATNFHPEP	0.039506	0.034568	0.133333	0.281481	0.382716	0.409877	0.474074	1.0	0.950617	0.004938	-0.098765	-0.148148	-0.101235	-0.02716	-0.064198	-0.525926	0.049383
synaptophysin	RNSYN	0.084034	0.264706	0.659664	0.617647	0.815126	0.840336	1.0	0.920168	0.735294	-0.180672	-0.394958	0.042017	-0.197479	-0.02521	-0.159664	0.079832	0.184874
neno	RATENONS	0.145161	0.376344	0.758065	0.784946	1.0	0.833333	0.876344	0.849462	0.811828	-0.231183	-0.38172	-0.026882	-0.215054	0.166667	-0.043011	0.026882	0.037634
S100_beta	RATS100B	0.022026	0.004405	0.215859	0.572687	0.651982	0.594714	0.629956	1.0	0.951542	0.017621	-0.211454	-0.356828	-0.079295	0.057269	-0.035242	-0.370044	0.048458
GFAP	RNU03700	0.0	0.0	0.0	0.033333	0.310345	0.428736	1.0	0.856322	0.751724	0.0	0.0	-0.033333	-0.277011	-0.118391	-0.571264	0.143678	0.104598
MOG	RATMOG	0.0	0.0	0.0	0.0	0.004808	0.182692	0.701923	1.0	0.870192	0.0	0.0	0.0	-0.004808	-0.177885	-0.519231	-0.298077	0.129808
GAD65	RATGAD65	0.092105	0.292105	0.665789	1.0	0.844737	0.734211	0.702632	0.610526	0.618421	-0.2	-0.373684	-0.334211	0.155263	0.110526	0.031579	0.092105	-0.007895
pre-GAD67	RATGAD67	0.048611	0.125	0.8125	0.993056	1.0	0.958333	0.805556	0.694444	0.680556	-0.076389	-0.6875	-0.180556	-0.006944	0.041667	0.152778	0.111111	0.013889
GAD67	RATGAD67	0.081232	0.084034	0.296919	0.781513	1.0	0.890756	0.728291	0.644258	0.579832	-0.002801	-0.212885	-0.484594	-0.218487	0.109244	0.162465	0.084034	0.064426
G67I80/86	RATGAD67	0.323404	0.587234	1.0	0.8	0.565957	0.425532	0.280851	0.238298	0.12766	-0.26383	-0.412766	0.2	0.234043	0.140426	0.144681	0.042553	0.110638
G67I86	RATGAD67	0.092105	0.263158	0.842105	1.0	0.526316	0.263158	0.065789	0.026316	0.0	-0.171053	-0.578947	-0.157895	0.473684	0.263158	0.197368	0.039474	0.026316
GAT1	RATGABAT	0.146127	0.18838	1.0	0.679577	0.841549	0.827465	0.857394	0.809859	0.822183	-0.042254	-0.81162	0.320423	-0.161972	0.014085	-0.02993	0.047535	-0.012324
ChAT	(*)	0.0	0.014085	0.253521	0.225352	0.464789	0.415493	0.556338	0.711268	1.0	-0.014085	-0.239437	0.028169	-0.239437	0.049296	-0.140845	-0.15493	-0.288732
ACHE	S50879	0.04038	0.099762	0.387173	0.646081	0.776722	0.833729	1.0	0.921615	0.938242	-0.059382	-0.287411	-0.258907	-0.130641	-0.057007	-0.166271	0.078385	-0.016627
ODC	RATODC	0.9205	1.0	0.9	0.8055	0.7805	0.7805	0.6955	0.6555	0.555	-0.0795	0.1	0.0945	0.025	0.0	0.085	0.04	0.1005
