38	100
gene	description	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	f100
g0	ALL	4.1625	3.98847	3.9309	3.8293	3.67274	2	2	2	3.29336	2.20683	2.31387	2.58092	2.34439	3.06371	2.32634	3.32572	3.50133	2.89487	2.49276	2.46389	3.51614	3.03342	2.85914	3.48841	2	2.16732	2.43457	3.16465	2.48144	2	2	2.75967	2.60746	2	3.35736	2	3.73656	2	3.33244	2	2.21748	3.23603	2.18184	2.89321	2.24551	2	3.9697	3.09167	2.52244	2	2	2	2.79449	2.87448	2	2.24797	3.71717	2.30535	3.62003	2.19866	4.1617	2.47422	2	3.50718	3.24699	2	3.93732	3.58229	2	3.71525	4.20412	3.52192	2	3.19976	2	3.72892	4.02645	4.18882	2	2.29226	2.46538	2.52244	2	2	2.63949	2	2	3.71634	3.75143	2.89487	2.18469	2.83059	2	3.49914	2.9196	2.3075	3.92536	2.07555	2.23553	3.82595
g1	ALL-T	2.78888	2.0607	3.18127	3.34537	3.52724	3.04218	3.35545	2	2.29667	2.76938	2.33244	3.36549	3.2584	4.20404	3.12905	3.60949	2	3.86094	2.53656	2.64444	3.21139	3.65225	3.97571	4.01932	2	3.26905	4.07185	3.41664	3.1329	2	2.78319	2.3483	2	3.33666	2.60853	2.83187	2	2	2	3.14768	2.70243	2	3.65925	2.56585	3.0569	2	2.95182	2.96237	2.32634	2.16435	2.78817	2.5611	3.88434	3.04297	2.95424	3.53908	2.92942	3.33885	2.8169	2	2	2.48714	2	3.19921	3.30428	2.45484	4.12336	2	2.92428	2	3.99423	3.76103	2	3.78068	2.40312	2.91855	3.69923	3.79021	3.31513	3.32634	3.31429	3.72795	2	3.64856	3.53479	2	2.54407	2.66932	3.68646	3.76871	4.1069	3.40926	3.96624	3.71533	2	2.6981	3.25479	2	3.19535	3.46195
g2	ALL-T	3.75351	3.51481	3.56443	3.52179	2	2.89321	2.31175	2	2.76268	2.31597	2	2.33041	2	3.59384	2.94448	3.57124	2	3.79616	2	2.50651	3.44451	2.33041	4.20412	3.97211	2	2.93551	2.26007	2	2.40483	3.94379	2	2.93349	2	2	3.4609	2	2.28103	2	2	2	2	2.12057	3.5557	3.10312	2.0607	2	2.79796	3.31387	2.7332	2.04139	3.99944	2	4.05312	2.04532	3.59306	2.61909	2	3.62066	2	2	2	2.48996	2.39445	3.25479	3.55096	2	4.19601	2	2	2	4.20412	2	2	4.01849	2	2.3075	3.42959	2	3.56384	2.98543	2	2.47857	2	2.8893	2.43136	2	2	2	2	4.08282	2	2.52763	4.20412	2.85003	3.38364	2.64345	2	2.23553	2.50379	2
g3	ALL	3.68574	3.3604	3.40976	3.48544	2.00432	2	2	2	3.68851	2	3.68673	2.63246	3.10551	2	4.00329	3.06221	2	2.79449	2	2.81954	3.18865	2.0569	2	3.17406	2	2	2	2	2	2	2	2.88536	3.08027	2	3.05461	2	2.71684	2	3.21059	3.8074	2.39794	2.90309	3.48487	2.94547	2	3.18041	3.72542	2.72591	3.51415	2	2.09342	2	2.67578	2.07188	2.09342	2.59329	3.8293	2	3.09412	2.34044	3.71659	2.84073	2	4.06774	2.91803	2	4.19565	3.43409	2.0569	3.2634	4.20412	2	2	2	2.45484	2.64345	2	4.06945	2	2.23805	2	2.38202	2.233	2.1959	2	2	2	2.98588	2	2.49693	2	2.43457	2	2	2.79029	2.98632	3.42911	2.5966	2.37658	3.14364
g4	ALL	3.10857	3.43632	2.49969	3.05308	3.10585	2	2.3075	2.4014	3.5293	2.52763	3.37291	3.19229	3.10106	2.29447	4.11889	3.08243	2.39794	3.7881	2.33846	2.83822	3.27784	2	2	3.67596	2.9722	3.00988	2	3.29754	2	2	2	3.5397	3.11561	2.38739	2	2.98182	2.77887	2.4624	3.47509	3.33021	2.233	2.8109	3.43473	2.97727	2.33646	3.10992	3.72868	3.3881	3.5193	2.01703	2	2.29003	2.53782	2.92065	3.18583	3.90157	3.69037	2	3.13609	2	3.77772	2.85309	2	3.41447	3.17493	2	3.5302	3.306	2	3.07115	3.5506	2.98856	2	3.19948	3.48544	3.01242	2	3.96661	2	2.90417	2.13988	2	2.49831	3.33746	2.95036	2	2	3.29491	2.83696	2.42488	2	2.5682	2	2.7364	2.45637	2.22272	3.37014	2.09342	3.03383	3.36399
g5	ALL-T	3.61784	3.43823	3.38093	3.59173	2	2	3.18639	2	2	2.30103	2	3.1271	2	2.7679	2.72509	3.34183	2	3.55425	2	2	3.37511	2.0607	3.90189	3.94655	2	2.9284	2	2	3.06744	3.69522	2	2.59329	2	2.03342	3.42684	2	2	2	2	2	2	2	3.25115	2.95904	2	2	2.45025	3.08422	2.12385	2	3.73006	2	3.85485	2	2.72673	2.77597	2.37291	3.34713	2	2	2	2.3927	2.35603	3.34674	3.41597	2	3.48926	2	2	2	3.8926	2.44716	2	4.00881	2.88423	2.75891	3.10175	3.04376	3.50947	3.29754	2	2.33244	2	3.20737	2.29885	2	2	2	2	4.00962	4.20412	2.50651	4.13117	3.25888	2	2.07918	2	2	3.01536	2
g6	ALL	4.20412	4.04261	4.20412	3.88992	2.18752	2	2	2	3.17811	2	3.68744	2.68842	3.0461	2.66745	3.66764	2	2	2	2	2.40312	2.78746	2	2	3.02653	2	2	2	2.51455	2	2	2	2	2	2	2	2	2.54283	2	3.07846	3.37603	3.11561	3.95928	3.4915	2.91698	2	3.42226	3.71147	2.68842	3.48869	2.02119	2.41996	2.52763	2.73799	2.1271	2	2.60531	3.77801	2	3.06595	2.56937	2	2	2	2	2.67486	2.35218	4.20412	3.00903	2.28103	2	4.20412	3.03342	2	2.48714	2.07918	2.65321	2	3.92598	2	2.34439	2.02938	2.2014	2	2.03743	2.76193	2	2	2.59218	2	2.22011	2	2.3483	2	2	2.21484	2.8451	3.17377	3.04415	2.26951	2
g7	ALL	3.59483	3.18977	3.11361	3.63114	3.36661	2	2	2.48855	3.09621	2.08279	2.42813	2	2	3.03941	2.12385	3.16997	2	2	3.14145	2.33846	3.60917	2.10721	3.11025	2	2	2	2.30535	2.40824	2	2	2	2.57287	3.1014	2.82866	2	2	3.55871	2	3.25455	3.58172	2.09342	2.43933	2	3.11461	2	2	3.60724	2.27416	2	2.01703	2.60959	2	2.89154	3.04727	2	2.14613	3.76738	2.02531	3.33866	3.15168	3.98597	2	2.61172	3.56573	3.31534	3.60638	4.20412	2.72346	2.37107	3.61109	3.60108	2.94596	2.93551	2.36736	2.57978	2.98046	2	4.04801	2.82995	2.11394	2	2.65801	2	2	3.18724	2	2	3.36996	3.1878	2.77232	2.56229	3.2159	2.16137	2	2.84696	3.5731	3.41111	3.70001	2	2.82282
g8	ALL-T	4.11411	3.86165	4.14423	3.78633	3.2667	3.08955	2.65418	2	2	2.1038	2.03342	2.87679	2	2.76492	3.83979	3.60638	2	3.98655	2	2.29447	3.14333	2.21219	4.20412	4.06971	2	2.98945	3.92562	3.15655	2.52634	2.91275	2.2833	3.81617	2	2.01284	3.67394	3.18837	2.29003	2	2	2.28103	2.01284	2	3.64856	3.12613	2	2	2.62634	3.85902	2	2.01284	4.07078	2.62014	4.05262	2	3.44059	2.9284	2.53782	3.86953	2	2	2	2	2	3.49402	3.64943	2	2.15534	2	2	2	2.99034	2	2	4.05595	2.20412	2.66558	3.95323	2.64048	3.63377	3.23274	2.01703	2.64836	2.07188	3.086	2.77159	2	2.04922	2	2.95904	4.12872	4.15503	2.69373	4.11919	3.01953	2	2.03342	2	2	3.38274	2.92012
g9	ALL-T	2	2	2	2	2.0569	2.01284	2.81954	2	2.56229	2.43457	2	2.70672	2.48714	2.93702	2.84261	3.30016	2	3.83353	2	3.81258	2.98767	2	4.20412	4.09851	2.59329	3.041	2.42975	3.20493	2.69723	3.6289	2.55267	3.5339	2	2.4014	3.48187	3.17869	2.12057	2	2	2	2	2	3.28081	2	2.49831	2	2.76716	3.53832	2.66464	2	4.05131	2	3.90037	2.20683	3.42488	3.03902	2.40824	3.36342	2	2	2	2.69197	2.93651	3.69258	3.24969	2	3.7001	2	2.38202	2	3.78909	2.41497	2	4.00475	2.74273	2.4216	2.68485	3.22298	3.0976	2.617	2	2.71767	2.53656	2.95521	2.68931	2	2	2	2	3.90747	4.20377	2.55509	3.74726	2.90849	2.93902	2	2.11059	2.08279	2.94052	2
