80	100																																																																																																				
ID	Description	GENE1636X	GENE3839X	GENE3836X	GENE3838X	GENE3837X	GENE1641X	GENE3835X	GENE3688X	GENE3544X	GENE3546X	GENE3689X	GENE3547X	GENE1610X	GENE3390X	GENE1567X	GENE3545X	GENE2307X	GENE1702X	GENE3543X	GENE1640X	GENE3421X	GENE3332X	GENE3423X	GENE3548X	GENE3424X	GENE3422X	GENE3389X	GENE3851X	GENE1638X	GENE2487X	GENE2489X	GENE1639X	GENE3425X	GENE1609X	GENE1651X	GENE4014X	GENE3690X	GENE1637X	GENE3549X	GENE1648X	GENE2401X	GENE1646X	GENE1634X	GENE1720X	GENE1358X	GENE1645X	GENE1214X	GENE1635X	GENE2407X	GENE3321X	GENE3686X	GENE2409X	GENE4012X	GENE4013X	GENE2285X	GENE1719X	GENE2408X	GENE1659X	GENE1650X	GENE1647X	GENE2286X	GENE2304X	GENE1658X	GENE2271X	GENE3427X	GENE2270X	GENE2488X	GENE3428X	GENE1643X	GENE2305X	GENE3320X	GENE1652X	GENE1371X	GENE3685X	GENE3285X	GENE3852X	GENE3833X	GENE3426X	GENE1619X	GENE2400X	GENE1644X	GENE1172X	GENE2399X	GENE3226X	GENE3227X	GENE1213X	GENE1649X	GENE2357X	GENE1661X	GENE1618X	GENE1616X	GENE1227X	GENE3286X	GENE3684X	GENE2402X	GENE1173X	GENE3391X	GENE3850X	GENE3848X	GENE2363X
DLCL	DLCL	-0.472566961	0.437487055	0.699796742	0.635557635	0.507079421	-0.981126558	0.673030448	-0.413681113	1.069171608	1.261888929	-0.62781147	1.422486696	-0.253083345	1.294008482	1.497432321	1.101291161	-1.173843879	-0.310898542	0.764035849	-0.820528791	-0.381561559	-0.809822273	-0.483273479	1.186943304	-0.461860443	-0.461860443	1.026345536	-2.008952271	-0.617104952	0.089525226	0.169824109	-0.381561559	-0.515393032	-0.23167031	-0.718816871	1.797214821	-0.617104952	-0.162077944	1.147329188	-0.547512586	-1.650283923	-0.536806068	-0.499333256	-0.681344059	0.972812947	-1.007892853	1.299361741	-0.57427888	-0.135311649	-0.199550756	-2.426506466	-0.381561559	1.518845357	1.518845357	0.994225983	-0.659931023	-0.258436604	-0.858001603	-0.546174271	-0.472566961	0.95675317	1.358247589	-1.007892853	1.01028576	-0.536806068	1.15482375	0.073465449	-0.601045175	-0.697403836	1.401073661	-0.483273479	-1.27020254	0.035992636	-0.151371426	1.893573481	-1.698463253	0.078818708	-0.360148524	0.084171967	-1.3665612	-0.702757094	1.304715	-1.106392817	1.427839955	1.315421518	1.50278558	-0.445800666	0.667677189	-1.296968834	0.121644779	0.159117591	-0.643871246	1.807921339	-1.928653387	-1.377267718	1.379660625	0.110938261	-1.07213196	-1.189903656	1.347541071
DLCL_1	DLCL	1.1430526	1.085670442	0.075744449	1.200434759	0.867618239	0.798759648	-0.268548502	1.67096846	0.431513833	0.798759648	1.648015596	0.993858988	1.40701053	-2.426117667	3.116998857	-0.11935489	-0.911228679	-0.360359956	0.236414494	0.316749516	0.557754582	-0.807940794	0.54627815	0.523325287	0.592183877	0.121650176	-2.472023394	-1.244045199	0.638089604	0.052791586	-0.107878458	-0.406265683	0.798759648	0.21346163	-1.014516565	-0.555459296	0.970906124	0.867618239	0.167555903	0.649566036	-0.211166344	0.947953261	0.201985198	-0.750558635	-1.140757314	0.362655243	-0.429218547	0.970906124	0.454466696	1.200434759	-1.140757314	-0.280024934	-0.739082203	-0.38331282	-0.406265683	-0.429218547	-0.302977798	0.500372423	-0.52103	0.615136741	-0.819417225	-0.727605772	0.47741956	2.038214275	0.259367357	1.980832116	-0.165260617	0.21346163	0.752853921	-0.257072071	1.07419401	-0.394789251	-1.404715244	-0.291501366	-0.165260617	-1.840819649	-2.57531128	0.259367357	-1.427668107	-0.325930661	0.947953261	-1.485050266	-0.532506432	-0.532506432	-0.842370089	1.716874187	-0.027543436	-0.234119207	0.74137749	-1.370285948	-1.393238812	-1.335856653	-0.107878458	0.098697313	-0.073449163	-0.945657974	-1.083375155	-0.498077137	-1.083375155	1.062717578
DLCL_2	DLCL	2.03225898	1.042497358	0.493488959	1.351797865	0.818254491	1.027032333	0.153258401	-2.962944205	0.470291421	0.222851015	-2.993874256	0.238316041	1.730690986	-0.589062815	3.601959053	0.516686497	-0.217902207	0.779591928	0.369768756	0.524419009	-0.790108145	-0.774643119	-0.813305683	-0.063251954	-0.790108145	-0.952490911	-0.882898297	-0.264297283	0.083665787	-0.132844568	-0.148309593	0.222851015	-0.890630809	2.596732405	0.55534906	-0.434412562	-2.584051085	1.166217561	0.052735736	1.119822485	-1.516964336	0.849184542	1.112089972	-0.287494821	0.315641167	0.160990914	0.346571218	0.733196851	0.222851015	-0.627725379	0.075933274	-0.210169694	-0.797840657	-0.581330303	0.099130812	-0.078716979	0.068200762	-0.001391852	1.050229871	0.825987004	-0.179239644	0.679069263	0.052735736	-0.210169694	-0.890630809	0.052735736	-0.210169694	-1.176733778	0.648139212	0.717731826	-0.782375632	0.160990914	-0.272029796	0.563081573	-0.310692359	-0.504005176	-1.339116544	-0.658655429	0.795056953	-1.563359412	0.408431319	-1.501499311	-1.617487001	0.462558908	0.184188452	1.320867815	-0.171507131	0.176455939	0.052735736	0.570814085	0.617209161	0.292443629	-0.581330303	0.98836977	-1.339116544	-1.532429361	0.029538198	-0.233367232	-0.565865277	0.222851015
DLCL_3	DLCL	1.170223059	2.176099711	0.648657388	1.750331816	1.739687619	0.691234178	0.371908256	-2.624433305	1.271342934	1.021204296	-2.225275903	0.957339112	1.117002073	2.208032303	0.052582335	1.132968369	-1.251331843	0.403840848	0.946694915	0.137735914	1.090391579	-0.804275554	1.159578862	0.861541336	1.415039599	0.978627507	1.798230705	-1.985781462	0.552859612	-0.266743586	-0.319964573	0.35594196	1.228766145	0.483672329	0.258015344	-0.277387784	-1.607912455	0.457061835	0.638013191	0.387874552	-0.564781113	0.685912079	0.88282973	-0.889429133	-0.139013218	0.244177888	0.893473928	0.877507632	-1.533403074	0.021714163	-1.799508008	-0.968196193	-0.437050744	-0.29335408	0.084514927	-0.905395429	-1.400350607	-0.085792231	0.025971842	0.350619862	0.164346407	-0.335930869	-0.04853754	-0.607357902	0.936050717	-0.479627534	-0.218844698	0.936050717	-0.069825935	-0.415762349	-0.921361725	-0.272065685	-0.394473955	-1.405672705	-0.192234205	-1.389706409	-1.980459364	1.069103184	0.393196651	-0.431728646	0.169668506	0.201601098	-0.916039626	-1.336485422	-1.756931219	1.026526395	0.797676151	-0.745732468	0.004683447	-0.016604948	-0.197556303	-0.607357902	-0.33060877	-1.544047271	-0.538170619	0.249499986	0.03129394	-0.708477777	-1.315197028	0.047260236
DLCL_4	DLCL	2.447424398	0.764132241	0.375680204	0.475736032	0.210882371	1.582235772	0.157911638	0.622876955	0.210882371	0.004885079	0.487507306	0.087283995	0.146140365	-2.367026598	-0.566021702	0.099055269	-1.437095965	-0.289396767	0.069627085	1.435094849	-0.889731732	0.952472622	-0.925045554	-0.083399475	-0.936816828	-0.98978756	-2.631880259	-2.737821723	1.770576153	0.59344877	0.599334407	2.164913826	-1.054529566	0.157911638	1.234983194	1.164355551	0.34625202	1.94714526	-0.059856927	0.793560425	0.34625202	0.611105681	1.529265039	0.817102973	-0.524822244	0.399222752	0.240310555	1.39389539	0.416879663	1.382124116	0.010770716	0.252081829	0.870073705	1.017214628	-0.783790268	0.89950189	0.369794567	-0.089285112	0.640533865	0.722932782	-1.042758292	-0.895617369	-0.136370207	-0.736705172	-0.960359375	-0.524822244	0.446307847	-1.16047103	0.11671218	-0.807332815	1.046642812	0.210882371	-0.530707881	-0.43653769	-1.407667781	-1.925603829	0.157911638	-0.901503006	-0.301168041	0.216768008	-0.03631438	-0.536593517	0.122597817	1.217326283	1.040757175	-0.048085654	0.622876955	-1.101614661	0.293281287	-0.430652053	-0.554250428	-0.630763708	-1.425324691	-0.101056386	0.216768008	-0.601335523	-1.295840679	-1.743149085	-1.890290008	-0.001000558
DLCL_5	DLCL	1.721167764	-2.912613431	-3.353925926	-2.802285307	-3.035200235	0.746602672	-3.47651273	0.243996775	-0.49152405	-0.516041411	0.066245909	-0.577334813	0.881448156	0.654662569	0.10915129	-0.78573238	-0.50378273	0.293031497	-0.632498874	-0.356678565	1.402442074	1.672133043	1.310501971	-0.699921617	1.537287558	1.335019331	-0.148280998	-0.368937246	0.280772816	-1.748038792	-1.723521431	-0.099246277	1.255337909	0.078504589	0.415618301	1.426959435	-0.044082215	1.071457703	-0.589593493	0.446265002	-0.007306174	0.299160837	0.70369729	0.519817084	-0.681533596	-0.099246277	0.372712919	0.427876981	0.544334445	0.256255455	0.99790562	0.268514136	1.126621764	1.157268466	-0.381195926	0.574981146	0.427876981	-0.050211555	0.624015868	0.342066218	-0.601852173	-0.099246277	0.035599208	-0.295385163	1.065328362	-0.20344506	-1.656098689	1.114363084	0.232963963	0.023340528	0.170444692	0.219479414	-0.013435514	1.077587043	0.807896074	-0.393454606	0.078504589	1.187915167	0.017211187	-0.276997143	0.237867435	-0.938965885	-0.099246277	-0.546688112	-0.675404256	0.017211187	0.3849716	-0.172798359	0.078504589	0.023340528	-0.123763637	0.170444692	0.740473332	0.274643476	-0.068599576	-0.889931163	0.188832713	-0.430230648	-0.558946792	0.39110094
DLCL_6	DLCL	0.954713712	-2.724906137	-2.923651037	-2.804404097	-3.23596445	0.046165601	-3.003148996	-0.209363555	-0.697708165	-0.771527699	-0.328610495	-0.601174928	1.397630916	0.61400817	-0.078759764	-0.692029739	-0.731778719	0.665114001	-0.680672888	-0.430822157	1.408987767	1.522556281	1.272705551	-0.748813996	1.664516923	1.323811382	0.301694757	-1.805001175	0.097271432	-1.242837031	-1.31097814	0.341443737	1.403309342	0.966070563	0.608329744	1.113709631	-0.436500583	0.313051608	-0.765849273	0.761647238	0.091593006	0.318730034	0.648078724	0.437976974	0.307373183	0.239232074	0.420941697	0.721898258	0.744611961	0.176769392	0.596972893	0.290337906	0.954713712	1.130744908	-0.703386591	0.455012251	0.704862981	0.057522452	0.420941697	0.579937616	-0.964594172	-0.220720407	0.102949858	-0.833990382	1.306776105	-0.640923908	-1.157660646	1.545269984	0.068879304	-0.305896792	-0.033332359	0.313051608	-0.425143732	0.591294467	0.210839946	-1.413189802	0.32440846	1.210242868	0.341443737	0.108628284	-0.095795041	-0.61253178	0.029130324	1.034211671	0.784360941	-0.050367636	0.227875223	0.068879304	0.119985135	0.239232074	-0.050367636	0.307373183	0.085914581	0.477725954	-0.090116616	-0.487606414	0.824109921	-1.401832951	-0.992986301	0.307373183
DLCL_7	DLCL	2.508277331	-2.168061137	-2.658322428	-2.180631939	-2.151719094	1.634606569	-2.83431366	-0.835556089	-0.854412293	-0.954978712	-0.822985287	-0.760131275	0.811219016	-0.213301374	0.283245318	-0.879553898	-0.992691119	0.50951976	-0.860697694	1.018637255	0.276959917	2.212863476	0.201535103	-0.885839299	0.119824888	0.201535103	0.251818312	0.044400074	0.258103713	-0.584140043	-0.942407909	1.892308017	0.019258469	0.647798586	0.358670132	1.464900737	-0.917266305	1.452329935	-0.885839299	1.295194906	0.226676708	1.295194906	1.716316784	0.628942382	-0.093878752	0.610086179	-1.388671392	0.936927039	0.635227783	0.748365004	0.936927039	0.528375964	0.987210249	1.219770092	-0.848126892	0.496948958	0.584944574	0.113539487	0.836360621	0.999781051	-0.573140591	-1.024118124	0.163822696	0.000402266	0.02554387	-0.081307949	-0.703562665	-0.112734955	0.434094946	-0.942407909	0.50951976	0.754650406	0.767221208	0.698081795	0.02554387	0.201535103	-0.012168537	0.094683283	0.094683283	0.214105905	0.383811737	-1.740653857	0.289530719	-1.10582834	0.088397882	-0.871697146	0.515805161	-1.558377223	0.302101522	0.02554387	-0.112734955	0.408953341	-0.024739339	0.232962109	0.283245318	-1.495523212	0.553517568	-0.200730572	-0.420719612	-1.338388183
DLCL_8	DLCL	1.865426298	-1.973951422	-2.301938464	-2.31640848	-2.292291786	1.363799058	-2.393581902	-1.742431158	0.794645075	0.297841174	-1.800311224	0.153141008	0.524538099	0.977931951	0.674061604	0.423247984	-0.184492711	0.268901141	0.616181537	0.664414926	-0.203786066	2.424933604	-0.237549438	0.133847653	-0.218256083	-0.280959488	0.900758529	-0.681296612	0.987578628	-0.367779587	-0.734353339	1.180512182	-0.261666132	0.654768248	0.876641835	0.071144248	-1.269743951	1.151572149	0.100084281	0.900758529	-0.941756909	0.524538099	0.780175058	1.416855786	0.428071322	0.437718	-1.419267455	1.030988678	-0.932110232	1.252862265	1.103338761	-1.467500843	-0.22790276	-0.305076182	-0.946580248	1.209452215	-1.158807157	-0.112142628	0.674061604	0.582418165	-1.617024348	-1.100927091	-0.141082661	0.215844413	-0.170022694	0.138670992	-0.628239885	-0.194139388	0.403954628	-0.89834686	0.828408447	0.201374397	0.847701802	0.259254463	1.436149141	-0.27131281	-0.010852512	-0.001205835	-0.078379256	-0.936933571	0.514891422	0.346074562	-1.047870364	1.170865505	0.987578628	-1.56396762	0.259254463	0.051850893	0.215844413	-0.131435984	-0.155552678	-0.541419785	1.537439257	-0.121789306	-0.483539719	0.408777967	1.923306364	-0.56553648	-0.580006496	-1.182923852
DLCL_9	DLCL	1.6402152	-1.264527571	-1.298567525	-0.963841307	-1.185101011	0.925376159	-1.395014063	0.65872985	-0.980861285	-0.901434725	0.533916684	-0.70854165	1.226062423	-0.623441764	-0.141209077	-0.918454702	-0.742581604	0.959416113	-0.98653461	1.123942559	1.901188184	2.752187043	1.799068321	-0.884414747	1.623195223	1.691275132	-1.094327799	-0.220635637	0.908356182	-0.736908278	-0.74825493	1.833108275	1.555115315	0.789216342	0.494203404	-0.935474679	0.403430192	0.845949599	-0.736908278	0.942396136	-0.912781376	0.794889667	0.800562993	0.948069462	-0.356795455	0.392083541	-1.53117388	0.931049485	-1.196447662	0.800562993	0.477183427	-1.587907137	-1.128367754	-1.020574565	-0.890088073	0.828929622	-1.156734382	-0.180922357	0.46016345	0.675749827	-1.105674451	-1.326934154	-0.180922357	0.102743929	1.94657479	0.227557095	-0.646135067	1.572135292	0.505550055	-1.185101011	0.641709873	0.11409058	-0.078802494	0.567956638	-0.538341878	-0.20361566	1.396262194	1.447322126	0.165150512	-0.856048119	0.494203404	0.000624066	-0.674501695	-0.742581604	-1.343954131	-0.141209077	0.238903746	-1.843206795	0.03466402	0.15380386	0.244577072	0.085723952	-0.810661513	0.437470147	-0.58940181	0.142457209	-0.935474679	-0.186595683	-0.20361566	-1.213467639
