2329	139
gene	Description	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130	c131	c132	c133	c134	c135	c136	c137	c138	c139
1	*	0.257004	1.719332	0.104824	0.387492	0.457459	0.141591	0.150023	0.160075	0.918493	0.292196	1.051589	0.548494	1.221131	0.137509	0.253780	0.480663	0.252577	1.620260	1.576422	0.668730	0.652439	1.513512	0.236212	0.214706	6.033715	2.164162	0.703788	0.125953	0.465289	0.094003	0.138560	1.521594	0.468742	0.313344	0.393908	0.262147	0.404684	0.222830	0.436869	0.029548	1.406590	0.249901	1.885774	0.324229	0.326225	0.110624	0.551775	2.067942	1.236552	1.526977	0.349199	0.165826	0.387834	0.761151	2.417408	0.872180	0.325091	0.087364	0.264492	0.198006	0.486620	0.712152	0.259605	0.472106	0.234272	1.250221	0.079441	0.378042	0.391050	0.179433	0.674355	0.158476	0.038209	0.119538	0.903091	0.262530	0.468101	0.073811	0.100761	0.839224	0.053228	0.108869	0.061652	1.618917	0.083213	0.053218	0.322362	0.066007	0.855920	0.074230	0.276362	0.706300	0.280239	0.472543	0.109645	0.007846	1.025243	0.070872	0.032235	0.041478	2.528955	0.419305	0.117627	0.497097	0.140754	0.143814	0.068353	0.251436	0.072097	0.018109	0.162423	0.219619	0.105210	4.396075	0.841603	2.719800	0.642175	0.224334	0.300636	1.088510	0.120595	1.084476	0.147011	2.289076	0.419839	0.186288	0.832919	0.218451	0.078773	0.697053	0.499281	0.151430	0.080222	0.133570	0.127452	0.817110	0.223323	0.042494	0.060035
2	*	0.431012	0.454206	0.055949	0.254256	0.265488	0.131870	0.320405	0.068078	0.536692	0.252448	0.148547	0.102841	8.249682	0.306370	0.266197	1.769477	0.068551	0.495140	1.506907	0.399188	0.289176	0.791910	0.529263	0.527046	1.959055	0.927863	1.562353	0.057838	0.379939	0.223960	0.251012	0.826453	0.726407	1.609138	1.785484	0.395017	0.250263	0.260296	0.223525	0.057683	0.952011	0.300650	1.364531	0.206737	0.237625	0.114908	0.561710	1.785553	0.671684	2.290638	2.203795	0.334463	0.290690	0.317856	1.973059	1.081811	0.478095	0.150717	0.198086	0.319882	0.521890	1.011734	0.447156	0.517468	0.232171	0.664432	0.081555	0.357274	0.841997	0.064326	0.512732	0.096482	0.032592	0.100072	0.467794	0.210705	0.103717	0.074293	0.107010	0.709867	0.063466	0.056154	0.114526	1.067865	0.098536	0.104014	0.119736	0.058081	0.522792	0.060861	0.244945	1.141882	0.128251	0.781852	0.110544	0.000400	0.279602	0.070480	0.051067	0.134724	1.323665	0.063423	0.053935	0.620525	0.164066	0.147406	0.055866	0.128658	0.154751	0.189283	0.138720	0.370287	0.189310	2.696726	0.247654	1.968514	0.171434	0.246161	0.201766	0.607825	0.104911	0.143876	0.142158	1.272268	0.825751	0.224104	0.511213	0.237253	0.083850	0.214624	0.443516	0.232226	0.161741	0.199555	0.100214	0.247675	0.189836	0.052752	0.075521
3	*	0.206648	0.970794	0.423502	0.394984	0.230253	0.082579	0.114278	0.155357	0.848674	0.504079	0.350233	0.152849	1.849660	0.328232	0.135699	0.331457	0.077508	0.538900	1.881457	0.691875	0.387512	1.116093	0.407386	0.275491	1.504088	1.357228	1.484053	0.185391	0.656898	0.179535	0.082144	1.388751	0.627845	0.394215	0.511838	0.254550	0.157612	0.171194	0.249093	0.107236	1.845770	0.345922	2.607958	0.401839	0.131836	0.060348	0.990916	1.785429	1.274502	1.225192	0.139978	0.192154	0.752485	0.311345	4.866252	0.412543	0.350920	0.217047	0.444799	0.068778	0.397152	0.388609	0.524453	0.862315	0.202994	0.205833	0.080911	0.709381	0.226077	0.124833	1.220167	0.061055	0.087213	0.105798	1.138107	0.420240	0.216269	0.086999	0.064524	0.614495	0.116789	0.139474	0.109330	2.108276	0.122487	0.107921	0.141325	0.049964	0.515360	0.218112	0.378482	0.870442	0.247676	0.346836	0.290795	0.099871	0.766215	0.084799	0.127022	0.104902	2.903174	0.144584	1.638163	0.377302	0.102239	0.251649	0.097759	0.528520	0.750794	0.149768	0.213137	0.386537	0.152428	5.463119	0.902056	3.337630	0.206979	0.206076	0.238990	0.471111	0.103449	0.253592	0.220423	2.332739	0.389384	0.168880	0.781859	0.073896	0.166776	0.745816	0.374805	0.157219	0.130565	0.225566	0.153758	0.513179	0.468564	0.039831	0.092581
4	*	0.994278	0.996153	0.073669	0.105882	0.328905	0.080060	0.169562	0.116588	0.965500	0.234760	0.282956	0.146316	1.040350	0.081612	0.165241	0.361701	0.234580	0.405957	1.172043	0.602718	0.266804	5.660008	0.328613	0.278771	1.463361	1.256736	0.788955	0.206546	0.379136	0.214734	0.023330	0.772278	1.086575	0.278223	0.412813	0.193977	0.227404	0.162139	0.051237	0.030561	1.143633	0.130819	1.978572	0.296527	0.048841	0.079589	0.502016	4.316676	0.866787	1.489938	0.167391	0.172690	1.955730	0.194306	1.741691	0.422386	0.141317	0.088530	0.782697	0.082862	0.376545	0.547371	0.242278	0.489446	0.142623	0.262981	0.058543	0.526802	0.258711	0.094707	0.963166	0.034496	0.024429	0.070653	1.091295	0.428272	0.045519	0.072353	0.106924	0.931646	0.066134	0.069652	0.073358	1.467011	0.134242	0.312697	0.161919	0.066860	0.457380	0.100353	0.518644	1.215533	0.315289	0.205875	0.122479	0.219052	0.400313	0.082677	0.057696	0.037759	1.872479	0.254992	0.024138	0.218688	0.137604	0.122487	0.087059	0.058818	0.067178	0.115793	0.096749	0.233112	0.122845	6.144938	0.246579	2.066664	0.220563	0.142579	0.158362	0.461578	0.156020	0.302770	0.315833	1.480810	0.366217	0.140506	0.629849	0.122011	0.068054	0.336288	0.206377	0.090789	0.124034	0.156985	0.131929	0.336054	0.183275	0.065154	0.135736
5	*	0.193290	1.079533	0.388790	0.111507	0.607855	0.147133	0.038051	0.165170	0.918702	0.483862	0.304791	0.181434	1.097790	0.189985	0.266415	0.284672	0.633312	0.384124	2.072860	0.545773	0.127505	1.048898	0.489628	0.315730	1.827533	1.371463	1.565968	0.262961	0.267512	0.107580	0.146315	1.339189	0.658699	0.395577	0.454077	0.110925	0.202874	0.066818	0.185521	0.063953	1.017022	0.220748	2.476782	0.327585	0.090705	0.111870	0.793778	0.982554	0.538070	1.017063	0.205356	0.227022	0.591785	0.199525	4.422968	0.447372	0.177739	0.120937	0.983788	0.181199	0.094088	0.345490	0.801287	0.790815	0.230524	0.335997	0.048228	0.768443	0.185157	0.051146	1.130292	0.067817	0.051454	0.099476	1.263133	0.337641	0.202307	0.065288	0.123849	0.735141	0.120502	0.077931	0.119824	1.701598	0.212736	0.146839	0.172626	0.080763	0.400073	0.036177	0.463083	0.964401	0.300195	0.476242	0.216920	0.021613	0.474553	0.037452	0.079942	0.114157	3.157170	0.085380	1.675591	0.370957	0.151395	0.108926	0.109340	0.593464	0.540271	0.069243	0.234122	0.420718	0.151465	6.084801	0.584851	4.041747	0.128202	0.335447	0.321230	0.327810	0.134904	0.334067	0.336838	2.314329	0.618418	0.149715	0.607696	0.200077	0.203295	0.373250	0.305270	0.175564	0.166412	0.261050	0.175313	0.570827	0.285901	0.061250	0.102690
6	*	0.374579	0.849738	0.059985	0.130899	0.108412	0.075181	0.680709	0.097506	0.974551	0.244383	0.077311	0.173923	7.093768	0.400949	0.400723	1.690185	0.118933	0.176400	1.155761	0.312351	0.389377	0.741369	0.273624	0.317460	1.912172	1.080688	1.930232	0.219534	0.431143	0.377024	0.219450	0.719743	0.999120	0.856741	1.442561	0.234221	0.250473	0.543159	0.108769	0.062339	0.556696	0.300495	0.542683	0.173908	0.112126	0.089645	0.382308	3.587889	0.623101	1.493301	2.040382	0.268595	0.277951	0.431689	1.544400	1.386837	0.330787	0.075558	0.000000	0.263959	0.511015	1.112725	0.307742	0.343138	0.142283	0.373446	0.178880	0.292986	0.641344	0.070665	0.366331	0.225341	0.027276	0.057910	0.439611	0.158888	0.044401	0.035608	0.109441	0.545652	0.041234	0.056312	0.104381	0.666962	0.078338	0.036549	0.154024	0.060083	0.108287	0.064495	0.199105	0.646012	0.097883	0.421644	0.166724	0.095952	0.411236	0.020857	0.045571	0.103981	0.915752	0.094853	0.081650	0.158511	0.104426	0.127088	0.049387	0.032118	0.063259	0.223733	0.083721	0.168296	0.103910	4.141516	0.311316	3.087374	0.367440	0.096546	0.293955	0.944254	0.120615	0.276725	0.193968	2.673523	0.460192	0.218758	0.440803	0.205094	0.058091	0.357094	0.330998	0.204774	0.123779	0.135301	0.086175	0.276105	0.143694	0.043271	0.085594
7	*	0.300253	2.679350	0.111053	0.416924	0.559460	0.135517	0.169742	0.126927	0.828650	0.279121	1.512238	0.894233	0.960257	0.168982	0.057845	0.569841	0.344945	2.196880	1.636665	0.298105	0.724673	0.682596	0.418980	0.273805	5.412261	1.122593	0.555052	0.061101	0.491049	0.145892	0.034667	1.207229	0.522271	0.182049	0.806129	0.220192	0.442237	0.425554	0.305593	0.081857	1.853068	0.198719	3.035120	0.278039	0.399745	0.104629	1.267606	1.973270	0.468128	1.444081	0.290240	0.299978	0.355908	0.668180	1.617992	0.673262	0.334526	0.099968	0.415504	0.173842	0.320677	0.486954	0.727546	1.299083	0.167430	2.477219	0.091161	0.286258	0.335326	0.180175	0.600969	0.191063	0.040434	0.097427	0.669244	0.363103	0.404832	0.049577	0.051125	0.940347	0.059055	0.069940	0.038564	1.806008	0.086698	0.108334	0.131590	0.183626	0.936916	0.081264	0.391567	0.519371	0.160444	0.454349	0.235877	0.039642	0.542428	0.046959	0.048992	0.109787	3.318215	0.319994	0.120116	0.397062	0.184984	0.141148	0.051253	0.272553	0.069353	0.123085	0.109088	0.249678	0.103870	3.910021	0.534646	2.021185	0.664028	0.076878	0.229282	1.763748	0.167756	0.886992	0.215383	1.767003	0.560931	0.213184	1.226646	0.232515	0.105497	0.425480	0.430740	0.134309	0.098731	0.158147	0.170670	0.790169	0.309565	0.080582	0.092568
8	*	0.207838	1.707423	0.060302	0.179463	0.376479	0.134332	0.136916	0.786606	1.536048	0.424787	0.394051	0.332578	1.992718	0.186306	0.133635	0.469237	0.183337	0.493974	2.331477	0.588087	0.306896	1.484056	0.412148	0.374545	1.379094	1.145091	1.127019	0.468961	0.560883	0.405049	0.120689	1.114257	0.808903	0.370672	0.274866	0.108776	0.192083	0.239025	0.145908	0.072758	2.114248	0.176186	3.094831	0.630452	0.127527	0.192427	0.277972	1.674096	0.962086	1.277886	0.218041	0.233388	0.598940	0.278022	1.998386	0.482078	0.356288	0.131018	1.742258	0.155809	0.274480	0.437064	0.187549	0.539113	0.338810	0.367080	0.052095	0.785343	0.195548	0.127885	0.790782	0.063628	0.068284	0.065939	0.863279	0.340030	0.148704	0.079066	0.098293	0.806306	0.100008	0.094145	0.116607	2.567179	0.066627	0.236681	0.303966	0.085221	0.515022	0.145010	0.663061	0.918514	0.461876	0.296614	0.227962	0.026264	0.658605	0.156693	0.267348	0.111905	3.410332	0.109798	0.065784	0.217332	0.118477	0.189039	0.114611	0.147610	0.119285	0.158053	0.160277	0.621839	0.133823	6.177064	0.162091	3.624407	0.220858	0.234947	0.337168	0.365936	0.141133	0.385946	0.353328	2.130994	0.350242	0.134440	0.719673	0.192616	0.057396	0.454310	0.217933	0.170023	0.107821	0.240616	0.228863	1.115384	0.243953	0.062580	0.049035
9	*	0.331985	0.490654	0.037068	0.081291	0.211022	0.117591	0.793177	0.087381	0.464899	0.134290	0.126302	0.105753	8.933440	0.309750	0.243963	2.044548	0.159600	0.377960	0.501166	0.244807	0.417318	0.754809	0.256117	0.226687	1.828234	0.610010	1.181891	0.145756	0.327762	0.268365	0.126675	0.634972	0.706944	1.683509	1.559711	0.294022	0.413557	0.662783	0.144369	0.047362	0.360388	0.271510	0.752627	0.106771	0.194889	0.085493	0.283658	2.984124	0.573929	1.738035	2.996463	0.333455	0.174141	0.624038	0.936063	1.287728	0.636536	0.108429	0.000000	0.432209	0.564349	0.958063	0.314743	0.244518	0.105173	0.717530	0.121724	0.214819	1.040999	0.102592	0.199338	0.230775	0.017234	0.035069	0.437407	0.093021	0.070198	0.032175	0.111665	0.671034	0.049660	0.054472	0.116285	0.556283	0.115249	0.062210	0.052855	0.049784	0.261412	0.038000	0.085170	0.612895	0.056658	0.503735	0.144662	0.050584	0.278048	0.066250	0.040243	0.175046	0.970027	0.168122	0.054091	0.236424	0.112846	0.201442	0.053017	0.032963	0.085281	0.341228	0.156683	0.100739	0.083099	1.308182	0.374031	1.536538	0.294792	0.182022	0.162805	1.017811	0.068771	0.085742	0.161080	1.220119	0.486739	0.138769	0.270351	0.320338	0.082799	0.337707	0.305669	0.255947	0.185803	0.189627	0.065945	0.392519	0.136789	0.054078	0.050087
10	*	0.663059	2.718430	0.059204	0.460857	1.280338	0.122069	0.155420	0.110170	1.081005	0.352528	0.280443	0.206878	1.256619	0.136755	0.213866	0.513481	0.313647	0.924989	2.024583	0.289028	1.158229	1.119649	1.117315	0.410251	3.531971	1.193751	0.856742	0.242650	0.430476	0.354849	0.249031	1.361510	0.990258	0.255751	1.782400	0.293457	0.172781	0.249119	0.179945	0.048403	0.939274	0.888676	1.327066	0.321395	0.087861	0.043014	2.920513	2.605437	0.504369	1.989794	0.180521	0.255958	0.346896	0.394623	2.673956	0.967788	0.151450	0.163651	0.432947	0.169008	0.235796	0.769463	3.280930	1.532476	0.294644	0.483257	0.234200	0.434347	0.220595	0.073434	0.480361	0.261470	0.026996	0.130946	0.387890	0.133025	0.127973	0.087922	0.064351	0.765001	0.025242	0.113048	0.110580	1.483544	0.126515	0.232885	0.069091	0.221579	0.548776	0.050738	0.319588	0.928276	0.141208	3.286020	0.092702	0.023975	0.481497	0.045051	0.055812	0.220043	1.171239	0.089696	0.072148	0.252792	0.058048	0.173256	0.100320	0.074682	0.117266	0.202562	0.167344	0.144313	0.113164	4.356700	0.110479	2.498673	0.198319	0.186154	0.089218	0.257166	0.095702	0.162980	0.266437	1.460149	0.756219	0.293444	0.807854	0.148769	0.140449	0.158086	1.392352	0.269697	0.315197	0.133706	0.118519	0.769436	0.266268	0.038097	0.071590
